STATISTIC,Statistic Label,TLIST(W1),Week,Sex,C02076V03371,Age Group,UNIT,VALUE
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Female,245,5 - 9 years,Number,176
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Female,265,10 - 14 years,Number,205
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Female,300,15 - 19 years,Number,172
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Female,365,20 - 24 years,Number,154
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Female,410,25 - 29 years,Number,196
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Female,440,30 - 34 years,Number,261
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Female,460,35 - 39 years,Number,291
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Female,475,40 - 44 years,Number,261
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Female,495,45 - 49 years,Number,160
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Female,515,50 - 54 years,Number,67
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Female,530,55 - 59 years,Number,61
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Female,550,60 - 64 years,Number,87
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Female,575,65 years and over,Number,141
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Both sexes,-,All ages,Number,8033
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Both sexes,205,0 - 4 years,Number,587
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Both sexes,245,5 - 9 years,Number,931
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Both sexes,265,10 - 14 years,Number,979
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Both sexes,300,15 - 19 years,Number,668
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Both sexes,365,20 - 24 years,Number,456
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Both sexes,410,25 - 29 years,Number,574
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Both sexes,440,30 - 34 years,Number,734
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Both sexes,460,35 - 39 years,Number,872
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Both sexes,475,40 - 44 years,Number,672
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Both sexes,495,45 - 49 years,Number,416
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Both sexes,515,50 - 54 years,Number,232
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Both sexes,530,55 - 59 years,Number,189
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Both sexes,550,60 - 64 years,Number,262
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Both sexes,575,65 years and over,Number,461
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Male,-,All ages,Number,2601
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Male,205,0 - 4 years,Number,308
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Male,245,5 - 9 years,Number,482
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Male,265,10 - 14 years,Number,512
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Male,300,15 - 19 years,Number,277
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Male,365,20 - 24 years,Number,78
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Male,410,25 - 29 years,Number,128
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Male,440,30 - 34 years,Number,165
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Male,460,35 - 39 years,Number,172
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Male,475,40 - 44 years,Number,119
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Male,495,45 - 49 years,Number,88
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Male,515,50 - 54 years,Number,53
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Male,530,55 - 59 years,Number,32
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Male,550,60 - 64 years,Number,69
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Male,575,65 years and over,Number,118
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Female,-,All ages,Number,5432
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Female,205,0 - 4 years,Number,279
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Female,245,5 - 9 years,Number,449
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Female,265,10 - 14 years,Number,467
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Female,300,15 - 19 years,Number,391
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Female,365,20 - 24 years,Number,378
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Female,410,25 - 29 years,Number,446
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Female,440,30 - 34 years,Number,569
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Female,460,35 - 39 years,Number,700
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Female,475,40 - 44 years,Number,553
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Female,495,45 - 49 years,Number,328
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Female,515,50 - 54 years,Number,179
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Female,530,55 - 59 years,Number,157
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Female,550,60 - 64 years,Number,193
UA06C01,PPSN allocations to arrivals from Ukraine,2022W11,2022 March 20,Female,575,65 years and over,Number,343
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Both sexes,-,All ages,Number,12257
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Both sexes,205,0 - 4 years,Number,927
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Both sexes,245,5 - 9 years,Number,1402
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Both sexes,265,10 - 14 years,Number,1453
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Both sexes,300,15 - 19 years,Number,989
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Both sexes,365,20 - 24 years,Number,754
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Both sexes,410,25 - 29 years,Number,891
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Both sexes,440,30 - 34 years,Number,1141
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Both sexes,460,35 - 39 years,Number,1341
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Both sexes,475,40 - 44 years,Number,1007
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Both sexes,495,45 - 49 years,Number,607
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Both sexes,515,50 - 54 years,Number,386
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Both sexes,530,55 - 59 years,Number,304
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Both sexes,550,60 - 64 years,Number,395
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Both sexes,575,65 years and over,Number,660
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Male,-,All ages,Number,3924
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Male,205,0 - 4 years,Number,477
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Male,245,5 - 9 years,Number,707
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Male,265,10 - 14 years,Number,744
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Male,300,15 - 19 years,Number,412
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Male,365,20 - 24 years,Number,138
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Male,410,25 - 29 years,Number,206
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Male,440,30 - 34 years,Number,254
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Male,460,35 - 39 years,Number,270
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Male,475,40 - 44 years,Number,186
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Male,495,45 - 49 years,Number,125
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Male,515,50 - 54 years,Number,80
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Male,530,55 - 59 years,Number,46
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Male,550,60 - 64 years,Number,106
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Male,575,65 years and over,Number,173
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Female,-,All ages,Number,8333
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Female,205,0 - 4 years,Number,450
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Female,245,5 - 9 years,Number,695
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Female,265,10 - 14 years,Number,709
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Female,300,15 - 19 years,Number,577
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Female,365,20 - 24 years,Number,616
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Female,410,25 - 29 years,Number,685
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Female,440,30 - 34 years,Number,887
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Female,460,35 - 39 years,Number,1071
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Female,475,40 - 44 years,Number,821
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Female,495,45 - 49 years,Number,482
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Female,515,50 - 54 years,Number,306
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Female,530,55 - 59 years,Number,258
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Female,550,60 - 64 years,Number,289
UA06C01,PPSN allocations to arrivals from Ukraine,2022W12,2022 March 27,Female,575,65 years and over,Number,487
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Both sexes,-,All ages,Number,18304
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Both sexes,205,0 - 4 years,Number,1394
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Both sexes,245,5 - 9 years,Number,2137
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Both sexes,265,10 - 14 years,Number,2143
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Both sexes,300,15 - 19 years,Number,1515
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Both sexes,365,20 - 24 years,Number,1126
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Both sexes,410,25 - 29 years,Number,1328
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Both sexes,440,30 - 34 years,Number,1740
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Both sexes,460,35 - 39 years,Number,1939
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Both sexes,475,40 - 44 years,Number,1490
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Both sexes,495,45 - 49 years,Number,974
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Both sexes,515,50 - 54 years,Number,603
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Both sexes,530,55 - 59 years,Number,466
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Both sexes,550,60 - 64 years,Number,547
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Both sexes,575,65 years and over,Number,902
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Male,-,All ages,Number,5919
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Male,205,0 - 4 years,Number,727
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Male,245,5 - 9 years,Number,1093
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Male,265,10 - 14 years,Number,1083
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Male,300,15 - 19 years,Number,649
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Male,365,20 - 24 years,Number,228
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Male,410,25 - 29 years,Number,316
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Male,440,30 - 34 years,Number,379
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Male,460,35 - 39 years,Number,382
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Male,475,40 - 44 years,Number,280
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Male,495,45 - 49 years,Number,192
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Male,515,50 - 54 years,Number,141
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Male,530,55 - 59 years,Number,74
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Male,550,60 - 64 years,Number,149
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Male,575,65 years and over,Number,226
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Female,-,All ages,Number,12385
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Female,205,0 - 4 years,Number,667
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Female,245,5 - 9 years,Number,1044
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Female,265,10 - 14 years,Number,1060
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Female,300,15 - 19 years,Number,866
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Female,365,20 - 24 years,Number,898
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Female,410,25 - 29 years,Number,1012
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Female,440,30 - 34 years,Number,1361
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Female,460,35 - 39 years,Number,1557
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Female,475,40 - 44 years,Number,1210
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Female,495,45 - 49 years,Number,782
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Female,515,50 - 54 years,Number,462
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Female,530,55 - 59 years,Number,392
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Female,550,60 - 64 years,Number,398
UA06C01,PPSN allocations to arrivals from Ukraine,2022W13,2022 April 03,Female,575,65 years and over,Number,676
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Both sexes,-,All ages,Number,22094
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Both sexes,205,0 - 4 years,Number,1658
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Both sexes,245,5 - 9 years,Number,2583
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Both sexes,265,10 - 14 years,Number,2548
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Both sexes,300,15 - 19 years,Number,1870
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Both sexes,365,20 - 24 years,Number,1365
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Both sexes,410,25 - 29 years,Number,1590
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Both sexes,440,30 - 34 years,Number,2105
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Both sexes,460,35 - 39 years,Number,2352
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Both sexes,475,40 - 44 years,Number,1804
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Both sexes,495,45 - 49 years,Number,1179
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Both sexes,515,50 - 54 years,Number,763
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Both sexes,530,55 - 59 years,Number,558
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Both sexes,550,60 - 64 years,Number,679
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Both sexes,575,65 years and over,Number,1040
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Male,-,All ages,Number,7160
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Male,205,0 - 4 years,Number,862
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Male,245,5 - 9 years,Number,1324
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Male,265,10 - 14 years,Number,1288
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Male,300,15 - 19 years,Number,786
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Male,365,20 - 24 years,Number,287
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Male,410,25 - 29 years,Number,388
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Male,440,30 - 34 years,Number,464
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Male,460,35 - 39 years,Number,462
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Male,475,40 - 44 years,Number,337
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Male,495,45 - 49 years,Number,240
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Male,515,50 - 54 years,Number,174
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Male,530,55 - 59 years,Number,90
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Male,550,60 - 64 years,Number,186
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Male,575,65 years and over,Number,272
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Female,-,All ages,Number,14934
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Female,205,0 - 4 years,Number,796
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Female,245,5 - 9 years,Number,1259
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Female,265,10 - 14 years,Number,1260
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Female,300,15 - 19 years,Number,1084
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Female,365,20 - 24 years,Number,1078
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Female,410,25 - 29 years,Number,1202
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Female,440,30 - 34 years,Number,1641
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Female,460,35 - 39 years,Number,1890
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Female,475,40 - 44 years,Number,1467
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Female,495,45 - 49 years,Number,939
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Female,515,50 - 54 years,Number,589
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Female,530,55 - 59 years,Number,468
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Female,550,60 - 64 years,Number,493
UA06C01,PPSN allocations to arrivals from Ukraine,2022W14,2022 April 10,Female,575,65 years and over,Number,768
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Both sexes,-,All ages,Number,24109
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Both sexes,205,0 - 4 years,Number,1804
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Both sexes,245,5 - 9 years,Number,2768
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Both sexes,265,10 - 14 years,Number,2772
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Both sexes,300,15 - 19 years,Number,2067
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Both sexes,365,20 - 24 years,Number,1480
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Both sexes,410,25 - 29 years,Number,1731
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Both sexes,440,30 - 34 years,Number,2274
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Both sexes,460,35 - 39 years,Number,2566
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Both sexes,475,40 - 44 years,Number,1992
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Both sexes,495,45 - 49 years,Number,1319
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Both sexes,515,50 - 54 years,Number,842
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Both sexes,530,55 - 59 years,Number,618
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Both sexes,550,60 - 64 years,Number,735
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Both sexes,575,65 years and over,Number,1141
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Male,-,All ages,Number,7840
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Male,205,0 - 4 years,Number,936
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Male,245,5 - 9 years,Number,1405
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Male,265,10 - 14 years,Number,1413
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Male,300,15 - 19 years,Number,873
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Male,365,20 - 24 years,Number,315
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Male,410,25 - 29 years,Number,428
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Male,440,30 - 34 years,Number,498
